,VQT,Conv1D,Gabor1D,MuReNN
0,0.29331598019693705,0.1102304092557282,7.4335125468347585e-09,0.017342675167119913
1,0.2550814984756928,0.10856766019271522,7.43164937314586e-09,0.0024455397856665935
2,0.2243989135552799,0.12537597144508414,7.430393595638639e-09,0.00030473427063414305
3,0.2006200406451517,0.059069737078612024,7.429035030895833e-09,0.003146317261013432
4,0.1835265962768888,0.10420671000839207,3.139621879783013e-08,0.0004749459919606281
5,0.16895198872711534,0.11340306479969546,3.1376465096314404e-08,0.0005715162181027742
6,0.15544143419430237,0.1115426224244251,7.438320865572211e-09,0.007058851332208245
7,0.14332169025314698,0.10650234610754011,7.446761433689687e-09,0.0010636456242845119
8,0.13318284851247617,0.10301099898745915,7.431632502762517e-09,0.009604090876225012
9,0.12391011644882853,0.10730183402200871,7.429957057092175e-09,0.004901930430821969
10,0.11500199263009941,0.1030142530522682,7.443733208377583e-09,0.001297977371927572
11,0.1069395023883823,0.08586878478629204,7.448419445468711e-09,0.005009550886588756
12,0.09993967506433724,0.08175017131021325,7.4380052787067136e-09,0.012135885114468484
13,0.09336883204855614,0.08576457203289511,7.439164081877763e-09,0.17132035591352915
14,0.08704190954412809,0.08307990632939667,7.4418197536021046e-09,0.09001610796043047
15,0.08131287667644765,0.06527513393340384,3.123725634874361e-08,0.09281413165158953
16,0.07619202014578073,0.07461578515147493,3.134541062416397e-08,0.05040364708278524
17,0.07129536627263426,0.07103860933778802,3.1234362313959614e-08,0.10392819604095614
18,0.06659171146981685,0.07156391653749708,3.125310309644663e-08,0.0211080584678374
19,0.062351526561319114,0.07375774295224759,3.127358452546995e-08,0.03320036334023409
20,0.058460820195304776,0.08010256603098015,3.173173597509087e-08,0.005298675049791317
21,0.05470844725361785,0.07901110227737335,3.131890429660085e-08,0.004957732803252544
22,0.0511442250815615,0.08901411776070899,3.171810632794783e-08,0.0032850232084679523
23,0.04794808038384794,0.08648070313730627,3.1622932632643233e-08,5.902044834935788e-05
24,0.044950128904023036,0.10188300366865506,3.203155788210925e-08,0.009120200900406555
25,0.04208192850088671,0.09641870447100903,7.312738456844362e-08,0.025858293623600717
26,0.039391898789160024,0.10307418951847218,3.2034012839313034e-08,0.02432270564827116
27,0.03699163346436941,0.10305816659241687,7.277444565878607e-08,0.026937277143720417
28,0.03470854037305325,0.1070058489911562,7.248965259000125e-08,0.01304509339272977
29,0.03252369257884408,0.1318452320581421,7.253448993865911e-08,0.005540582870729426
30,0.030513366321591764,0.11007042401929035,7.260627784664754e-08,0.002884183392113955
31,0.028708811400155236,0.10803779027718163,7.247523804276994e-08,0.0011343456691043793
32,0.026990931220242206,0.12166907741573976,7.293113199783465e-08,0.0004302947731072925
33,0.025329024992407776,0.1507653905620243,7.164753714455697e-08,7.426069255312818e-05
34,0.023836680088754652,0.13979830488893424,7.173516002496991e-08,2.3777580626648326e-05
35,0.022488012747651723,0.16476277558380847,1.276938428104816e-07,4.372648103267586e-06
36,0.021191531982228,0.1610962151043949,1.2763099002005353e-07,3.898872771148302e-06
37,0.01996967100641788,0.19075739276573905,1.276828166157716e-07,0.00854320575502724
38,0.01889830309701872,0.09410290402187595,1.271558686746705e-07,0.008179994861516743
39,0.017935527927973493,0.1988879545528892,1.2685924147912655e-07,0.002491333109560369
40,0.017014943246368798,0.2130712305976167,1.985737824228359e-07,0.0012913056962042288
41,0.016216279703042857,0.24460661084161395,1.2702632156390566e-07,0.0005538261936902397
42,0.015551815299425615,0.07712188753780942,1.270851915627774e-07,0.00023985478429652203
43,0.01497247522148219,0.08107511755229976,1.270566421764239e-07,6.808315253550126e-05
44,0.01451216222258734,0.22816295050199406,1.9836995640137222e-07,3.701334708937767e-05
45,0.014172066251087644,0.18197452111246606,1.984838653360343e-07,1.2487004072108018e-05
46,0.013983554070624614,0.20519223180985227,1.990806924057559e-07,7.89415819401068e-06
47,0.01392415222379312,0.26353303267336203,2.9240598288035426e-07,2.1851108107721142e-06
48,0.013983554070624613,0.2702827602769183,1.9994687066571018e-07,0.0007563972275379501
49,0.014172066251087639,0.16607875075791065,3.048915069670067e-07,0.0002919853607112098
50,0.014512162222587338,0.07958404935251276,3.039897631644864e-07,0.00022438790324718423
51,0.014972475221482186,0.11867045212183965,2.9522989916062353e-07,0.00017632252119454967
52,0.015551815299425616,0.2786855182094271,2.8899321360695184e-07,9.526408667207382e-05
53,0.016216279703042853,0.03257105940126629,4.041816421158336e-07,4.661768379808648e-05
54,0.017014943246368795,0.04447069709522945,4.0383418635839804e-07,4.4781208956085254e-05
55,0.017935527927973493,0.25271137502965996,3.9729173038921604e-07,1.2845713717920005e-05
56,0.01889830309701872,0.1427712023955718,3.9707652870514393e-07,7.855011554024524e-06
57,0.019969671006417885,0.20683149458902023,3.9638743191567773e-07,2.0007336971381637e-06
58,0.021191531982228,0.13217905884421585,3.971334387567344e-07,6.547058610928787e-07
59,0.022488012747651723,0.07786558590713034,5.199124540605025e-07,5.4612694461839385e-05
60,0.02383668008875465,0.07608401120044833,5.216398498152211e-07,4.456645886951703e-06
61,0.02532902499240778,0.08921289389947624,6.734765657117075e-07,7.012550220168997e-05
62,0.02699093122024221,0.07721655049616372,6.78627488289634e-07,3.061538580092269e-05
63,0.028708811400155243,0.10541552858908522,6.62384250247967e-07,4.3364402603757156e-05
64,0.03051336632159176,0.0811717544103155,6.540972245040418e-07,2.109569906928453e-05
65,0.03252369257884407,0.07456209570178496,8.056069421386924e-07,1.2285215320309034e-05
66,0.03470854037305324,0.08263524192922382,9.608427924188148e-07,8.036402784238826e-06
67,0.0369916334643694,0.09465916476513832,1.0197293764697655e-06,3.6587532325537006e-06
68,0.03939189878916002,0.08233068130701539,1.024628011295881e-06,1.1813736455297245e-06
69,0.042081928500886705,0.07212414772340375,1.0251594832385285e-06,5.80754719761568e-07
70,0.04495012890402302,0.08234636343395936,1.279326135046119e-06,1.8318327701829225e-06
71,0.04794808038384792,0.06787217030308527,1.2322981046031166e-06,3.208291229881021e-06
72,0.051144225081561516,0.0563041944708484,1.2508235793300125e-06,4.181709867220175e-06
73,0.05470844725361782,0.07723822509949771,1.5025618144459586e-06,8.564762951430885e-05
74,0.05846082019530477,0.06392591667942116,1.5334131864641363e-06,9.711094650447383e-05
75,0.06235152656131912,0.06587370726491897,1.7722260701935443e-06,5.499632481601787e-05
76,0.06659171146981685,0.061664493388241017,2.083482428399574e-06,5.169848342246684e-05
77,0.07129536627263425,0.07086834757603108,2.097997429255386e-06,1.864135083072368e-05
78,0.07619202014578075,0.05285648254770469,2.389583148566733e-06,1.7722571183083694e-06
79,0.08131287667644765,0.07004088106141698,2.0931506064653687e-06,7.041068053224427e-06
80,0.08704190954412808,0.05587292043127687,2.39887623157408e-06,9.003799858306208e-06
81,0.09336883204855607,0.04789023858448179,2.7380582738236813e-06,2.591847465432734e-06
82,0.09993967506433724,0.07464366100768507,2.7444752238189802e-06,2.5483114177234927e-05
83,0.1069395023883823,0.07189074929310947,3.47141013059132e-06,1.1536601975143824e-05
84,0.11500199263009941,0.06229709045739589,3.461895376155157e-06,8.744234829968113e-06
85,0.12391011644882849,0.08105335395755606,3.5028030208467785e-06,0.00013489176068148305
86,0.13318284851247614,0.06661516153545942,3.8961748624667166e-06,0.00010812179146933898
87,0.14332169025314698,0.05968013190443783,4.3219509811128945e-06,8.727611345201145e-05
88,0.1554414341943023,0.06252496937192625,4.814293398344255e-06,8.018627409991694e-05
89,0.16895198872711534,0.07205803039522204,4.808134936173068e-06,3.0106247722013403e-05
90,0.18352659627688872,0.06789257181882076,5.786596586353334e-06,9.283398571475938e-06
91,0.20062004064515165,0.0734739464232728,5.778668467641608e-06,7.0022706721031426e-06
92,0.2243989135552799,0.06910008823078304,6.3255611878852985e-06,1.8629892488320444e-05
93,0.2550814984756928,0.08103542805104035,6.368488198959247e-06,2.3187148871066428e-05
94,0.2933159801969369,0.06228947656857855,6.8680910746866896e-06,3.8570794945448754e-05
